#space_1 ell_1 scale_1 space_2 ell_2 scale_2 covariance
0 0 0.0852 0 0 0.165106 2226.405
0 0 0.0852 0 0 0.175099 2103.219
0 0 0.0852 0 0 0.185092 1408.023
0 0 0.0852 0 0 0.195086 2005.848
0 0 0.0852 0 0 0.205085 1644.19
0 0 0.0852 0 0 0.215079 608.1025
0 0 0.0852 0 0 0.225074 2010.928
0 0 0.0852 0 0 0.235071 846.0744
0 0 0.0852 0 0 0.245068 1234.585
0 0 0.0852 0 0 0.255064 680.4334
0 0 0.0852 0 0 0.265062 312.4133
0 0 0.0852 0 0 0.275059 918.7769
0 0 0.0852 0 0 0.285055 1548.379
0 0 0.0852 0 0 0.295057 1151.519
0 0 0.0852 0 0 0.305058 640.1108
0 0 0.0852 0 0 0.315054 495.9752
0 0 0.0852 0 2 0.007493 -172296.1
0 0 0.0852 0 2 0.016066 25499.47
0 0 0.0852 0 2 0.025663 10202.88
0 0 0.0852 0 2 0.035474 22816.27
0 0 0.0852 0 2 0.045364 -11594.53
0 0 0.0852 0 2 0.055298 6292.051
0 0 0.0852 0 2 0.065259 10153.87
0 0 0.0852 0 2 0.075226 9328.279
0 0 0.0852 0 2 0.0852 -13848.83
0 0 0.0852 0 2 0.095179 8472.62
0 0 0.0852 0 2 0.105167 -90.4287
0 0 0.0852 0 2 0.115153 5163.12
0 0 0.0852 0 2 0.125138 5965.616
0 0 0.0852 0 2 0.135129 846.5136
0 0 0.0852 0 2 0.145115 1227.117
0 0 0.0852 0 2 0.15511 3933.68
0 0 0.0852 0 2 0.165106 2610.01
0 0 0.0852 0 2 0.175099 -615.5876
0 0 0.0852 0 2 0.185092 433.1218
0 0 0.0852 0 2 0.195086 821.7121
0 0 0.0852 0 2 0.205085 -1619.181
0 0 0.0852 0 2 0.215079 -1446.834
0 0 0.0852 0 2 0.225074 -2314.274
0 0 0.0852 0 2 0.235071 -1519.561
0 0 0.0852 0 2 0.245068 -1024.752
0 0 0.0852 0 2 0.255064 1216.21
0 0 0.0852 0 2 0.265062 216.7912
0 0 0.0852 0 2 0.275059 17.43467
0 0 0.0852 0 2 0.285055 -298.554
0 0 0.0852 0 2 0.295057 -565.9892
0 0 0.0852 0 2 0.305058 -1139.91
0 0 0.0852 0 2 0.315054 -830.7145
0 0 0.095179 0 0 0.007493 67664.31
0 0 0.095179 0 0 0.016066 -78462.72
0 0 0.095179 0 0 0.025663 -30465.13
0 0 0.095179 0 0 0.035474 -3564.391
0 0 0.095179 0 0 0.045364 1820.027
0 0 0.095179 0 0 0.055298 352.1533
0 0 0.095179 0 0 0.065259 1608.482
0 0 0.095179 0 0 0.075226 4546.262
0 0 0.095179 0 0 0.0852 14832.6
0 0 0.095179 0 0 0.095179 52156.02
0 0 0.095179 0 0 0.105167 10691.57
0 0 0.095179 0 0 0.115153 2708.427
0 0 0.095179 0 0 0.125138 346.0876
0 0 0.095179 0 0 0.135129 644.4024
0 0 0.095179 0 0 0.145115 -284.7946
